Run Name,Waste Result,Waste Reduction,Proposed Waste,Previous Waste,Reagent Result,Reagent Reduction,Proposed Reagents,Previous Reagents
run_36,WIN,3.0,2.0,5.0,WIN,3,8,11
run_23,WIN,2.0,3.0,5.0,WIN,2,9,11
run_30,WIN,2.0,2.0,4.0,WIN,2,8,10
run_42,WIN,2.0,2.0,4.0,WIN,2,8,10
run_1,WIN,1.0,2.0,3.0,WIN,1,8,9
run_14,WIN,1.0,1.0,2.0,WIN,1,7,8
run_32,WIN,1.0,3.0,4.0,WIN,1,9,10
run_35,WIN,1.0,2.0,3.0,WIN,1,8,9
run_44,WIN,1.0,2.0,3.0,WIN,1,8,9
run_5,WIN,1.0,2.0,3.0,WIN,1,8,9
run_10,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_11,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_12,DRAW,0.0,4.0,4.0,DRAW,0,10,10
run_13,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_15,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_16,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_17,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_18,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_19,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_2,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_20,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_21,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_22,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_24,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_25,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_26,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_27,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_28,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_29,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_3,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_31,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_33,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_34,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_37,DRAW,0.0,5.0,5.0,DRAW,0,11,11
run_38,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_39,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_4,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_40,DRAW,0.0,3.0,3.0,DRAW,0,9,9
run_41,DRAW,0.0,1.0,1.0,DRAW,0,7,7
run_43,DRAW,0.0,4.0,4.0,DRAW,0,10,10
run_45,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_46,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_47,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_48,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_49,DRAW,0.0,5.0,5.0,DRAW,0,11,11
run_50,DRAW,0.0,3.0,3.0,DRAW,0,8,8
run_6,DRAW,0.0,4.0,4.0,DRAW,0,10,10
run_7,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_8,DRAW,0.0,2.0,2.0,DRAW,0,8,8
run_9,DRAW,0.0,2.0,2.0,DRAW,0,8,8
